,Benchmark,Hardware Vendor	,System,Peak Result,Base Result,# Cores,# Chips ,Processor ,Published
0,CINT2017,ASRock Rack Inc.,1U4LW-B650/2L2T AMD EPYC 4245P,21.5,20.7,6,1,AMD EPYC 4245P,May-25
1,CINT2017,ASRock Rack Inc.,1U4LW-B650/2L2T AMD EPYC 4345P,22.8,21.7,8,1,AMD EPYC 4345P,May-25
4,CINT2017,ASRock Rack Inc.,1U4LW-B650/2L2T RPSU AMD EPYC 4464P,19.6,18.4,12,1,AMD EPYC 4464P,Jun-24
5,CINT2017,ASRock Rack Inc.,1U4LW-B650/2L2T RPSU AMD EPYC 4564P,19.3,19.3,16,1,AMD EPYC 4564P,Jun-24
2,CINT2017,ASRock Rack Inc.,1U4LW-B650/2L2T AMD EPYC 4565P,23.1,22.6,16,1,AMD EPYC 4565P,May-25
3,CINT2017,ASRock Rack Inc.,1U4LW-B650/2L2T AMD EPYC 4585PX,23.3,22.9,16,1,AMD EPYC 4585PX,May-25
7,CINT2017,ASRock Rack Inc.,"1U4LW-X570 RPSU AMD Ryzen 7 5800X,3.8GHz",15.3,15.0,8,1,AMD Ryzen 7 5800X,Sep-22
6,CINT2017,ASRock Rack Inc.,1U4LW-B650/2L2T RPSU AMD Ryzen 9 7950X,19.4,19.4,16,1,AMD Ryzen 9 7950X,Jul-23
25,CINT2017,ASUSTeK Computer Inc.,"ASUS RS500A-E10(KRPA-U16) Server System 3.10 GHz, AMD EPYC 7232P",8.25,7.96,8,1,AMD EPYC 7232P,Apr-20
26,CINT2017,ASUSTeK Computer Inc.,"ASUS RS500A-E10(KRPA-U16) Server System 3.10 GHz, AMD EPYC 7252",8.47,8.22,8,1,AMD EPYC 7252,Apr-20
27,CINT2017,ASUSTeK Computer Inc.,"ASUS RS500A-E10(KRPA-U16) Server System 3.20 GHz, AMD EPYC 7262",8.96,8.73,8,1,AMD EPYC 7262,Jan-20
22,CINT2017,ASUSTeK Computer Inc.,"ASUS RS500A-E10(KRPA-U16) Server System 2.90 GHz, AMD EPYC 7272",8.52,8.26,12,1,AMD EPYC 7272,Apr-20
20,CINT2017,ASUSTeK Computer Inc.,"ASUS RS500A-E10(KRPA-U16) Server System 2.80 GHz, AMD EPYC 7282",8.53,8.28,16,1,AMD EPYC 7282,Apr-20
49,CINT2017,ASUSTeK Computer Inc.,"ASUS RS520A-E11(KMPA-U16) Server System 3.70 GHz, AMD EPYC 72F3",13.8,13.8,8,1,AMD EPYC 72F3,Aug-21
69,CINT2017,ASUSTeK Computer Inc.,"ASUS RS700A-E11(KMPP-D32) Server System 3.70 GHz, AMD EPYC 72F3",14.0,14.0,8,1,AMD EPYC 72F3,Mar-21
99,CINT2017,ASUSTeK Computer Inc.,"ASUS RS720A-E11(KMPP-D32) Server System 3.70 GHz, AMD EPYC 72F3",14.3,14.3,16,2,AMD EPYC 72F3,Mar-21
77,CINT2017,ASUSTeK Computer Inc.,"ASUS RS700A-E9V2(KNPP-D32-R) Server System 3.00 GHz, AMD EPYC 7302",9.1,8.87,32,2,AMD EPYC 7302,Jan-20
24,CINT2017,ASUSTeK Computer Inc.,"ASUS RS500A-E10(KRPA-U16) Server System 3.00 GHz, AMD EPYC 7302P",9.03,8.81,16,1,AMD EPYC 7302P,Dec-19
44,CINT2017,ASUSTeK Computer Inc.,"ASUS RS520A-E11(KMPA-U16) Server System 3.00 GHz, AMD EPYC 7313",12.6,12.6,16,1,AMD EPYC 7313,Oct-21
94,CINT2017,ASUSTeK Computer Inc.,"ASUS RS720A-E11(KMPP-D32) Server System 3.00 GHz, AMD EPYC 7313",12.7,12.7,32,2,AMD EPYC 7313,Sep-21
46,CINT2017,ASUSTeK Computer Inc.,"ASUS RS520A-E11(KMPA-U16) Server System 3.20 GHz, AMD EPYC 7343",13.2,13.2,16,1,AMD EPYC 7343,Oct-21
96,CINT2017,ASUSTeK Computer Inc.,"ASUS RS720A-E11(KMPP-D32) Server System 3.20 GHz, AMD EPYC 7343",13.3,13.3,32,2,AMD EPYC 7343,Sep-21
14,CINT2017,ASUSTeK Computer Inc.,"ASUS RS500A-E10(KRPA-U16) Server System 2.30 GHz, AMD EPYC 7352",8.78,8.57,24,1,AMD EPYC 7352,Dec-19
45,CINT2017,ASUSTeK Computer Inc.,"ASUS RS520A-E11(KMPA-U16) Server System 3.05 GHz, AMD EPYC 7373X",13.5,13.3,16,1,AMD EPYC 7373X,Jul-22
95,CINT2017,ASUSTeK Computer Inc.,"ASUS RS720A-E11(KMPP-D32) Server System 3.05 GHz, AMD EPYC 7373X",13.6,13.4,32,2,AMD EPYC 7373X,May-22
48,CINT2017,ASUSTeK Computer Inc.,"ASUS RS520A-E11(KMPA-U16) Server System 3.50 GHz, AMD EPYC 73F3",13.7,13.6,16,1,AMD EPYC 73F3,Aug-21
98,CINT2017,ASUSTeK Computer Inc.,"ASUS RS720A-E11(KMPP-D32) Server System 3.50 GHz, AMD EPYC 73F3",13.7,13.7,32,2,AMD EPYC 73F3,Aug-21
76,CINT2017,ASUSTeK Computer Inc.,"ASUS RS700A-E9V2(KNPP-D32-R) Server System 2.80 GHz, AMD EPYC 7402",9.21,8.99,48,2,AMD EPYC 7402,Jan-20
21,CINT2017,ASUSTeK Computer Inc.,"ASUS RS500A-E10(KRPA-U16) Server System 2.80 GHz, AMD EPYC 7402P",9.11,8.9,24,1,AMD EPYC 7402P,Nov-19
37,CINT2017,ASUSTeK Computer Inc.,"ASUS RS520A-E11(KMPA-U16) Server System 2.65 GHz, AMD EPYC 7413",12.3,12.3,24,1,AMD EPYC 7413,Aug-21
87,CINT2017,ASUSTeK Computer Inc.,"ASUS RS720A-E11(KMPP-D32) Server System 2.65 GHz, AMD EPYC 7413",12.4,12.4,48,2,AMD EPYC 7413,Aug-21
42,CINT2017,ASUSTeK Computer Inc.,"ASUS RS520A-E11(KMPA-U16) Server System 2.85 GHz, AMD EPYC 7443",13.6,13.5,24,1,AMD EPYC 7443,Sep-21
92,CINT2017,ASUSTeK Computer Inc.,"ASUS RS720A-E11(KMPP-D32) Server System 2.85 GHz, AMD EPYC 7443",13.6,13.6,48,2,AMD EPYC 7443,Sep-21
16,CINT2017,ASUSTeK Computer Inc.,"ASUS RS500A-E10(KRPA-U16) Server System 2.35 GHz, AMD EPYC 7452",9.09,8.88,32,1,AMD EPYC 7452,Sep-20
38,CINT2017,ASUSTeK Computer Inc.,"ASUS RS520A-E11(KMPA-U16) Server System 2.75 GHz, AMD EPYC 7453",11.3,11.3,28,1,AMD EPYC 7453,Sep-21
88,CINT2017,ASUSTeK Computer Inc.,"ASUS RS720A-E11(KMPP-D32) Server System 2.75 GHz, AMD EPYC 7453",11.3,11.3,56,2,AMD EPYC 7453,Aug-21
39,CINT2017,ASUSTeK Computer Inc.,"ASUS RS520A-E11(KMPA-U16) Server System 2.80 GHz, AMD EPYC 7473X",13.2,13.0,24,1,AMD EPYC 7473X,Jul-22
89,CINT2017,ASUSTeK Computer Inc.,"ASUS RS720A-E11(KMPP-D32) Server System 2.80 GHz, AMD EPYC 7473X",13.3,13.1,48,2,AMD EPYC 7473X,Jun-22
47,CINT2017,ASUSTeK Computer Inc.,"ASUS RS520A-E11(KMPA-U16) Server System 3.20 GHz, AMD EPYC 74F3",13.6,13.6,24,1,AMD EPYC 74F3,Aug-21
97,CINT2017,ASUSTeK Computer Inc.,"ASUS RS720A-E11(KMPP-D32) Server System 3.20 GHz, AMD EPYC 74F3",13.7,13.7,48,2,AMD EPYC 74F3,May-21
75,CINT2017,ASUSTeK Computer Inc.,"ASUS RS700A-E9V2(KNPP-D32-R) Server System 2.50 GHz, AMD EPYC 7502",9.2,8.96,64,2,AMD EPYC 7502,Jan-20
18,CINT2017,ASUSTeK Computer Inc.,"ASUS RS500A-E10(KRPA-U16) Server System 2.50 GHz, AMD EPYC 7502P",9.15,8.94,32,1,AMD EPYC 7502P,Nov-19
36,CINT2017,ASUSTeK Computer Inc.,"ASUS RS520A-E11(KMPA-U16) Server System 2.60 GHz, AMD EPYC 7513",12.5,12.5,32,1,AMD EPYC 7513,Aug-21
86,CINT2017,ASUSTeK Computer Inc.,"ASUS RS720A-E11(KMPP-D32) Server System 2.60 GHz, AMD EPYC 7513",12.5,12.5,64,2,AMD EPYC 7513,Jul-21
17,CINT2017,ASUSTeK Computer Inc.,"ASUS RS500A-E10(KRPA-U16) Server System 2.40 GHz, AMD EPYC 7532",9.0,8.78,32,1,AMD EPYC 7532,Sep-20
23,CINT2017,ASUSTeK Computer Inc.,"ASUS RS500A-E10(KRPA-U16) Server System 2.90 GHz, AMD EPYC 7542",9.27,8.99,32,1,AMD EPYC 7542,Nov-19
90,CINT2017,ASUSTeK Computer Inc.,"ASUS RS720A-E11(KMPP-D32) Server System 2.80 GHz, AMD EPYC 7543",12.8,12.8,64,2,AMD EPYC 7543,May-21
40,CINT2017,ASUSTeK Computer Inc.,"ASUS RS520A-E11(KMPA-U16) Server System 2.80 GHz, AMD EPYC 7543P",12.7,12.7,32,1,AMD EPYC 7543P,Sep-21
11,CINT2017,ASUSTeK Computer Inc.,"ASUS RS500A-E10(KRPA-U16) Server System 2.20 GHz, AMD EPYC 7552",9.05,8.83,48,1,AMD EPYC 7552,Apr-20
41,CINT2017,ASUSTeK Computer Inc.,"ASUS RS520A-E11(KMPA-U16) Server System 2.80 GHz, AMD EPYC 7573X",12.9,12.7,32,1,AMD EPYC 7573X,Jul-22
91,CINT2017,ASUSTeK Computer Inc.,"ASUS RS720A-E11(KMPP-D32) Server System 2.80 GHz, AMD EPYC 7573X",12.9,12.7,64,2,AMD EPYC 7573X,Jun-22
43,CINT2017,ASUSTeK Computer Inc.,"ASUS RS520A-E11(KMPA-U16) Server System 2.95 GHz, AMD EPYC 75F3",13.6,13.6,32,1,AMD EPYC 75F3,Jul-21
93,CINT2017,ASUSTeK Computer Inc.,"ASUS RS720A-E11(KMPP-D32) Server System 2.95 GHz, AMD EPYC 75F3",13.7,13.7,64,2,AMD EPYC 75F3,Apr-21
15,CINT2017,ASUSTeK Computer Inc.,"ASUS RS500A-E10(KRPA-U16) Server System 2.30 GHz, AMD EPYC 7642",9.0,8.78,48,1,AMD EPYC 7642,Sep-20
34,CINT2017,ASUSTeK Computer Inc.,"ASUS RS520A-E11(KMPA-U16) Server System 2.30 GHz, AMD EPYC 7643",12.4,12.3,48,1,AMD EPYC 7643,Aug-21
84,CINT2017,ASUSTeK Computer Inc.,"ASUS RS720A-E11(KMPP-D32) Server System 2.30 GHz, AMD EPYC 7643",12.4,12.4,96,2,AMD EPYC 7643,May-21
9,CINT2017,ASUSTeK Computer Inc.,"ASUS RS500A-E10(KRPA-U16) Server System 2.00 GHz, AMD EPYC 7662",9.07,8.84,64,1,AMD EPYC 7662,Apr-20
72,CINT2017,ASUSTeK Computer Inc.,"ASUS RS700A-E9V2(KNPP-D32-R) Server System 2.00 GHz, AMD EPYC 7662",9.09,8.85,128,2,AMD EPYC 7662,May-20
31,CINT2017,ASUSTeK Computer Inc.,"ASUS RS520A-E11(KMPA-U16) Server System 2.00 GHz, AMD EPYC 7663",12.1,12.0,56,1,AMD EPYC 7663,Jul-21
81,CINT2017,ASUSTeK Computer Inc.,"ASUS RS720A-E11(KMPP-D32) Server System 2.00 GHz, AMD EPYC 7663",12.1,12.1,112,2,AMD EPYC 7663,Jun-21
73,CINT2017,ASUSTeK Computer Inc.,"ASUS RS700A-E9V2(KNPP-D32-R) Server System 2.00 GHz, AMD EPYC 7702",9.19,8.98,128,2,AMD EPYC 7702,Dec-19
10,CINT2017,ASUSTeK Computer Inc.,"ASUS RS500A-E10(KRPA-U16) Server System 2.00 GHz, AMD EPYC 7702P",9.15,8.87,64,1,AMD EPYC 7702P,Oct-19
32,CINT2017,ASUSTeK Computer Inc.,"ASUS RS520A-E11(KMPA-U16) Server System 2.00 GHz, AMD EPYC 7713",12.6,12.6,64,1,AMD EPYC 7713,Jul-21
82,CINT2017,ASUSTeK Computer Inc.,"ASUS RS720A-E11(KMPP-D32) Server System 2.00 GHz, AMD EPYC 7713",12.7,12.7,128,2,AMD EPYC 7713,Apr-21
13,CINT2017,ASUSTeK Computer Inc.,"ASUS RS500A-E10(KRPA-U16) Server System 2.25 GHz, AMD EPYC 7742",9.27,8.98,64,1,AMD EPYC 7742,Sep-19
12,CINT2017,ASUSTeK Computer Inc.,"ASUS RS500A-E10(KRPA-U16) Server System 2.25 GHz, AMD EPYC 7742",9.3,9.08,64,1,AMD EPYC 7742,Jan-20
74,CINT2017,ASUSTeK Computer Inc.,"ASUS RS700A-E9V2(KNPP-D32-R) Server System 2.25 GHz, AMD EPYC 7742",9.31,9.06,128,2,AMD EPYC 7742,Dec-19
35,CINT2017,ASUSTeK Computer Inc.,"ASUS RS520A-E11(KMPA-U16) Server System 2.45 GHz, AMD EPYC 7763",12.2,12.2,64,1,AMD EPYC 7763,Jun-21
85,CINT2017,ASUSTeK Computer Inc.,"ASUS RS720A-E11(KMPP-D32) Server System 2.45 GHz, AMD EPYC 7763",12.3,12.3,128,2,AMD EPYC 7763,Apr-21
33,CINT2017,ASUSTeK Computer Inc.,"ASUS RS520A-E11(KMPA-U16) Server System 2.20 GHz, AMD EPYC 7773X",12.6,12.5,64,1,AMD EPYC 7773X,Mar-22
83,CINT2017,ASUSTeK Computer Inc.,"ASUS RS720A-E11(KMPP-D32) Server System 2.20 GHz, AMD EPYC 7773X",12.7,12.5,128,2,AMD EPYC 7773X,Mar-22
30,CINT2017,ASUSTeK Computer Inc.,"ASUS RS500A-E10(KRPA-U16) Server System 3.70 GHz, AMD EPYC 7F32",10.3,10.0,8,1,AMD EPYC 7F32,Apr-20
80,CINT2017,ASUSTeK Computer Inc.,"ASUS RS700A-E9V2(KNPP-D32-R) Server System 3.70 GHz, AMD EPYC 7F32",10.4,10.1,16,2,AMD EPYC 7F32,Apr-20
29,CINT2017,ASUSTeK Computer Inc.,"ASUS RS500A-E10(KRPA-U16) Server System 3.50 GHz, AMD EPYC 7F52",10.5,10.1,16,1,AMD EPYC 7F52,Apr-20
79,CINT2017,ASUSTeK Computer Inc.,"ASUS RS700A-E9V2(KNPP-D32-R) Server System 3.50 GHz, AMD EPYC 7F52",10.5,10.2,32,2,AMD EPYC 7F52,Apr-20
28,CINT2017,ASUSTeK Computer Inc.,"ASUS RS500A-E10(KRPA-U16) Server System 3.20 GHz, AMD EPYC 7F72",9.96,9.62,24,1,AMD EPYC 7F72,Apr-20
78,CINT2017,ASUSTeK Computer Inc.,"ASUS RS700A-E9V2(KNPP-D32-R) Server System 3.20 GHz, AMD EPYC 7F72",10.0,9.64,48,2,AMD EPYC 7F72,Apr-20
