,Server Node
0,ASUS ESC4000-E11 
1,ASUS ESC8000 G4
2,ASUS RS700-E10
3,ASUS RS700-E9
4,ASUS RS700A-E12
5,ASUS RS700A-E9V2
6,ASUS RS720-E10
7,ASUS RS720-E10-RS12
8,ASUS RS720-E11
9,ASUS RS720-E11-RS12U 
10,ASUS RS720-E11-RS12U
11,ASUS RS720-E9
12,ASUS RS720A-E11
13,ASUS RS720A-E12-RS12 
14,ASUS RS720A-E13-RS8U 
15,ASUS RS720Q-E9
16,ASUS WS C621E SAGE Server System 
17,Cisco UCS B200 M5 
18,Cisco UCS B200 M6 
19,Cisco UCS B480 M5 
20,Cisco UCS C220 M5 
21,Cisco UCS C220 M6 
22,Cisco UCS C220 M7 
23,Cisco UCS C225 M6 
24,Cisco UCS C240 M5 
25,Cisco UCS C240 M6 
26,Cisco UCS C240 M7 
27,Cisco UCS C240 M8 
28,Cisco UCS C245 M6 
29,Cisco UCS C245 M8 
30,Cisco UCS C480 M5 
31,Cisco UCS X210 M7 
32,Cisco UCS X210C M7 
33,Cisco UCS X210c M6 
34,Cisco UCS X210c M7 
35,Cisco UCS X215 M8 
36,Cisco UCS X215c M8 
37,Cisco UCS X410c M7 
38,SR230-2 
39,PowerEdge C6420 
40,PowerEdge C6520 
41,PowerEdge C6525 
42,PowerEdge C6620 
43,PowerEdge FC640 
44,PowerEdge FC740 
45,PowerEdge HS5610 
46,PowerEdge HS5620 
47,PowerEdge M640 
48,PowerEdge M7725 
49,PowerEdge MX640 
50,PowerEdge MX740 
51,PowerEdge MX740C 
52,PowerEdge MX740c 
53,PowerEdge MX750c 
54,PowerEdge MX760c 
55,PowerEdge MX840 
56,PowerEdge MX840C 
57,PowerEdge MX840c 
58,PowerEdge Mx740 
59,PowerEdge R440 
60,PowerEdge R450 
61,PowerEdge R540 
62,PowerEdge R550 
63,PowerEdge R640 
64,PowerEdge R650 
65,PowerEdge R650xs 
66,PowerEdge R6525 
67,PowerEdge R660 
68,PowerEdge R660xs 
69,PowerEdge R6625 
70,PowerEdge R670 
71,PowerEdge R6725 
72,PowerEdge R740 
73,PowerEdge R740xd 
74,PowerEdge R740xd2 
75,PowerEdge R7425 
76,PowerEdge R750 
77,PowerEdge R750 xa 
78,PowerEdge R750xa 
79,PowerEdge R750xs 
80,PowerEdge R7525 
81,PowerEdge R760 
82,PowerEdge R760xa 
83,PowerEdge R760xd2 
84,PowerEdge R760xs 
85,PowerEdge R7625 
86,PowerEdge R770 
87,PowerEdge R7725 
88,PowerEdge R840 
89,PowerEdge R860 
90,PowerEdge R940 
91,PowerEdge R960 
92,PowerEdge T440 
93,PowerEdge T550 
94,PowerEdge T560 
95,PowerEdge T640 
96,PowerEdge XE7740 
97,PowerEdge XE7745 
98,PowerEdge XE8640 
99,PowerEdge XE9640 
100,PowerEdge XE9680 
101,PowerEdge XR7620 
102,eterio 217 RZ1 
103,Hexadata HD-RS3000 Ver: ILX-002 
104,Hexadata HD-RS4000 Ver: SPR-002 
105,Hexadata HDR-RM2386212I 
106,Hexadata HDR-RM2386212I Ver: ILX-002 
107,Hexadata HDR-RM2386212I Ver: SPR-002 
108,PRIMEQUEST 3800B2
109,PRIMEQUEST 4400E
110,PRIMERGY CX2550 M5
111,PRIMERGY CX2550 M6
112,PRIMERGY CX2560 M6
113,PRIMERGY RX2450 M2
114,PRIMERGY RX2530 M7
115,PRIMERGY RX2540 M4
116,PRIMERGY RX2540 M6
117,PRIMERGY RX2540 M7
118,PRIMERGY RX4770 M6
119,PRIMERGY RX4770 M7
120,Invento i6000 
121,Invento i6000 EPYC 
122,R282-Z90 
123,ProLiant BL460c Gen10 
124,ProLiant Compute DL360 Gen12 
125,ProLiant Compute DL380 Gen12 
126,ProLiant Compute DL380a Gen12 
127,ProLiant Compute ML350 Gen12 
128,ProLiant DL160 Gen10 
129,ProLiant DL360 Gen10 
130,ProLiant DL360 Gen10 Plus 
131,ProLiant DL360 Gen11 
132,ProLiant DL360 Gen12 
133,ProLiant DL365 Gen10 Plus 
134,ProLiant DL365 Gen10 Plus v2 
135,ProLiant DL365 Gen10 Plus v2 AMD EPYC 7373X
136,ProLiant DL365 Gen11 
137,ProLiant DL380 Gen10 
138,ProLiant DL380 Gen10 Plus 
139,ProLiant DL380 Gen11 
140,ProLiant DL380 Gen12 
141,ProLiant DL380a Gen11 
142,ProLiant DL380a Gen12 
143,ProLiant DL385 Gen10 
144,ProLiant DL385 Gen10 Plus 
145,ProLiant DL385 Gen10 Plus v2 
146,ProLiant DL385 Gen11 
147,ProLiant DL560 Gen10 
148,ProLiant DL560 Gen11 
149,ProLiant DL580 Gen10 
150,ProLiant ML350 Gen10 
151,ProLiant ML350 Gen11 
152,ProLiant ML350 Gen12 
153,ProLiant XL225n Gen10 Plus 
154,ProLiant XL420 Gen9 
155,Superdome Flex 280 
156,Synergy 480 Gen10 
157,Synergy 480 Gen10 Plus 
158,Synergy 660 Gen10 
159,Advanced Server DS220 
160,Huawei 1288H V5 
161,Huawei 2288 V5 
162,Huawei 2288H V5 
163,Huawei 2288H V6 
164,Huawei 2488 V5 
165,Huawei 2488H V5 
166,Huawei 2488H V6 
167,Huawei 5288 V5 
168,Huawei 5885H V5 
169,Huawei CH121 V5 
170,Huawei CH225 V5  
171,Huawei CH225 V5 
172,Huawei CH242 V5 
173,Huawei G530 V5 
174,Huawei G560 V5 
175,Huawei XH321 V5 
176,Huawei XH628 V5 
177,NF5180A7 
178,NF5180M7 
179,NF5280A7 
180,NF5280M7 
181,NF5466M7 
182,NF5688M7 
183,Inspur NE5260M5 
184,Inspur NF5180M6 
185,Inspur NF5280M5 
186,Inspur NF5280M6 
187,Inspur NF5288M5 
188,Inspur NF5466M5 
189,Inspur NF5488M5 
190,Inspur NF8260M5 
191,Inspur NF8260M6 
192,Inspur NF8480M5 
193,Inspur NF8480M6 
194,N5468A7 
195,NF5266M7 
196,NF5280M6 
197,NF8260M7 
198,NF8480M7 
199,Lenovo System x3650 M5 
200,ThinkServer SR660 V2 
201,ThinkSystem SD530 
202,ThinkSystem SD530 V3 
203,ThinkSystem SD550 V3 
204,ThinkSystem SD630 V2 
205,ThinkSystem SD650 
206,ThinkSystem SD650 V2 
207,ThinkSystem SD650 V3 
208,ThinkSystem SD665 V3 
209,ThinkSystem SN550 
